X1	X2	sign
YHR084W	YBR060C	NA
YHR084W	YBR066C	NA
YHR084W	YBR082C	NA
YHR084W	YBR156C	NA
YHR084W	YBR157C	NA
YHR084W	YBR158W	NA
YHR084W	YCL027W	NA
YHR084W	YCL055W	NA
YHR084W	YCL056C	NA
YHR084W	YDL127W	NA
YHR084W	YDL135C	NA
YHR084W	YDR085C	NA
YHR084W	YDR086C	NA
YHR084W	YDR309C	NA
YHR084W	YDR310C	NA
YHR084W	YDR311W	NA
YHR084W	YDR312W	NA
YHR084W	YDR530C	NA
YHR084W	YDR531W	NA
YHR084W	YER048C	NA
YHR084W	YER155C	NA
YHR084W	YFL026W	NA
YHR084W	YFL027C	NA
YHR084W	YFL039C	NA
YHR084W	YGL028C	NA
YHR084W	YGL162W	NA
YHR084W	YGL163C	NA
YHR084W	YGR014W	NA
YHR084W	YGR108W	NA
YHR084W	YGR189C	NA
YHR084W	YGR221C	NA
YHR084W	YGR222W	NA
YHR084W	YHR005C	NA
YHR084W	YHR082C	NA
YHR084W	YHR083W	NA
YHR084W	YHR151C	NA
YHR084W	YHR152W	NA
YHR084W	YHR205W	NA
YHR084W	YIL015W	NA
YHR084W	YIL036W	NA
YHR084W	YIL037C	NA
YHR084W	YIL123W	NA
YHR084W	YJL186W	NA
YHR084W	YJL187C	NA
YHR084W	YJR054W	NA
YHR084W	YKL002W	NA
YHR084W	YKL003C	NA
YHR084W	YKL095W	NA
YHR084W	YKL096CB	NA
YHR084W	YKL096W	NA
YHR084W	YKL104C	NA
YHR084W	YKL189W	NA
YHR084W	YKL208W	NA
YHR084W	YKL209C	NA
YHR084W	YKR041W	NA
YHR084W	YKR042W	NA
YHR084W	YKR061W	NA
YHR084W	YKR075C	NA
YHR084W	YKR076W	NA
YHR084W	YKR091W	NA
YHR084W	YLR084C	NA
YHR084W	YLR216C	NA
YHR084W	YLR332W	NA
YHR084W	YLR353W	NA
YHR084W	YLR412CA	NA
YHR084W	YLR413W	NA
YHR084W	YLR452C	NA
YHR084W	YML046W	NA
YHR084W	YML047C	NA
YHR084W	YMR135C	NA
YHR084W	YMR136W	NA
YHR084W	YMR197C	NA
YHR084W	YMR198W	NA
YHR084W	YMR232W	NA
YHR084W	YMR305C	NA
YHR084W	YMR306W	NA
YHR084W	YNL024CA	NA
YHR084W	YNL053W	NA
YHR084W	YNL087W	NA
YHR084W	YNL106C	NA
YHR084W	YNL178W	NA
YHR084W	YNL180C	NA
YHR084W	YNL192W	NA
YHR084W	YNL272C	NA
YHR084W	YNL279W	NA
YHR084W	YNL280C	NA
YHR084W	YNL298W	NA
YHR084W	YNR044W	NA
YHR084W	YOL030W	NA
YHR084W	YOL031C	NA
YHR084W	YOL082W	NA
YHR084W	YOL105C	NA
YHR084W	YOR093C	NA
YHR084W	YOR094W	NA
YHR084W	YOR246C	NA
YHR084W	YOR247W	NA
YHR084W	YPL048W	NA
YHR084W	YPL156C	NA
YHR084W	YPL163C	NA
YHR084W	YPL177C	NA
YHR084W	YPL192C	NA
YHR084W	YPR005C	NA
YHR084W	YPR119W	NA
YHR084W	YPR122W	NA
YHR084W	YPR165W	NA
YHR178W	YDL049C	NA
YHR178W	YDR011W	NA
YHR178W	YDR231C	NA
YHR178W	YDR232W	NA
YHR178W	YDR248C	NA
YHR178W	YDR294C	NA
YHR178W	YEL041W	NA
YHR178W	YHR163W	NA
YHR178W	YHR183W	NA
YHR178W	YIL159W	NA
YHR178W	YIL160C	NA
YHR178W	YLR354C	NA
YHR178W	YMR315W	NA
YHR178W	YNL273W	NA
YHR178W	YNL274C	NA
YHR178W	YPL061W	NA
YHR206W	SNR47	NA
YHR206W	TA(AGC)L	NA
YHR206W	YBL099W	NA
YHR206W	YBR053C	NA
YHR206W	YBR054W	NA
YHR206W	YBR066C	NA
YHR206W	YBR077C	NA
YHR206W	YBR078W	NA
YHR206W	YBR085CA	NA
YHR206W	YBR157C	NA
