A	B	sign
YGL134W	YJL137C	NA
YNL307C	YBL104C	0
YER133W	YOR078W	1
YER089C	YDR071C	1
YMR104C	YKL103C	0
YBR136W	YNL265C	0
YIL035C	YPR110C	0
YPL219W	YFR015C	NA
YOL001W	YGL156W	NA
YPR119W	YMR124W	NA
YBL009W	YDL053C	0
YER133W	YHR158C	1
YDL155W	YLR079W	NA
YPL203W	YBR225W	0
YOR267C	YNL061W	0
YPR119W	YPL070W	NA
YJL187C	YBR135W	0
YIL095W	YDR381W	0
YPL153C	YGR130C	0
YJL095W	YGR271W	0
YPR120C	YPR162C	NA
YDR247W	YBL025W	0
YMR036C	YML091C	1
YHR099W	YGR252W	NA
YPR106W	YNL132W	0
YNL298W	YCR028CA	0
YJR059W	YPL012W	0
YPL204W	YJL041W	0
YPR119W	YDR229W	NA
YGR092W	YNL241C	0
YGR262C	YGR095C	0
YGL134W	YFR015C	NA
YMR036C	YHR158C	1
YCR008W	YBR084W	0
YJL106W	YPL267W	0
YCL024W	YPL093W	0
YOR267C	YLR449W	0
YPL026C	YJR049C	0
YDR477W	YGL115W	0
YOR090C	YIL070C	1
YDL159W	YOL123W	0
YLR305C	YGR198W	NA
YER129W	YKL042W	0
YER059W	YMR165C	NA
YNL207W	YHL018W	0
YDR436W	YKL193C	1
YLR096W	YLR342W	0
YIL106W	YDL053C	NA
YNL207W	YNL132W	0
YHR099W	YHR090C	NA
YDL028C	YDR356W	0
YJL106W	YNL007C	0
YAR018C	YIL070C	0
YLR096W	YFL034CB	0
YDL047W	YJL111W	1
YNL207W	YGR090W	0
YFR028C	YMR270C	1
YJR059W	YER036C	0
YIL035C	YKL064W	0
YPL204W	YBL047C	0
YBR093C	YJL176C	NA
YDR122W	YGR238C	0
YBL105C	YCR030C	0
YIL106W	YGL195W	NA
YLR019W	YMR012W	1
YDR247W	YOR028C	0
YGL180W	YLR423C	0
YPL204W	YJL061W	0
YER133W	YMR290C	1
YDR122W	YHR158C	0
YIL106W	YPL085W	NA
YHR099W	YKL062W	NA
YLR096W	YGR097W	0
YLL019C	YGL173C	0
YGL158W	YGL066W	0
YER133W	YGR238C	1
YHR099W	YOR244W	NA
YDL028C	YIL151C	0
YGR203W	YOR341W	1
YIL095W	YDL161W	0
YKL203C	YER093C	NA
YHR099W	YDR167W	NA
YNL025C	YBL085W	NA
YDR247W	YPR010C	0
YLL019C	YCL011C	0
YGL190C	YJL111W	NA
YKL203C	YKL171W	NA
YGL158W	YDR167W	0
YOL113W	YDR162C	0
YLR096W	YJR138W	0
YMR199W	YBR135W	NA
YGL180W	YDR022C	0
YER133W	YKL035W	1
YHR030C	YHR084W	0
YHR099W	YDR359C	NA
