X1	X2	sign
YDR078C	YIL152W	NA
YDR078C	YJL092W	NA
YDR082W	YLR010C	NA
YDR084C	YGL127C	NA
YDR084C	YGL161C	NA
YDR084C	YGL198W	NA
YDR085C	YLR423C	NA
YDR086C	YPR071W	NA
YDR091C	YLR192C	NA
YDR092W	YGL087C	NA
YDR098C	YGL071W	NA
YDR098C	YGL220W	NA
YDR099W	YKL168C	NA
YDR099W	YLR177W	NA
YDR099W	YNL042W	NA
YDR099W	YPL267W	NA
YDR100W	YDR100W	NA
YDR100W	YDR479C	NA
YDR100W	YER101C	NA
YDR100W	YGR177C	NA
YDR100W	YGR223C	NA
YDR100W	YHR105W	NA
YDR100W	YJL104W	NA
YDR100W	YKL003WA	NA
YDR100W	YLR108C	NA
YDR100W	YLR393W	NA
YDR100W	YML029W	NA
YDR100W	YML110C	NA
YDR100W	YMR024W	NA
YDR100W	YMR079W	NA
YDR100W	YNL189W	NA
YDR100W	YNL198C	NA
YDR100W	YNL204C	NA
YDR100W	YNL315C	NA
YDR100W	YOR109W	NA
YDR100W	YPL020C	NA
YDR100W	YPL094C	NA
YDR100W	YPL095C	NA
YDR100W	YPL100W	NA
YDR100W	YPL135W	NA
YDR100W	YPL218W	NA
YDR100W	YPR174C	NA
YDR105C	YER081W	NA
YDR106W	YHR129C	NA
YDR107C	YMR070W	NA
YDR108W	YGR234W	NA
YDR113C	YGR098C	NA
YDR115W	YKL142W	NA
YDR121W	YJL065C	NA
YDR122W	YOL082W	NA
YDR123C	YML051W	NA
YDR123C	YOL108C	NA
YDR128W	YLR208W	NA
YDR132C	YDR132C	NA
YDR132C	YFL009W	NA
YDR132C	YHL009C	NA
YDR132C	YHR170W	NA
YDR132C	YJL218W	NA
YDR132C	YJR102C	NA
YDR132C	YPL018W	NA
YDR138W	YKL171W	NA
YDR138W	YLR423C	NA
YDR140W	YIL151C	NA
YDR140W	YNR046W	NA
YDR142C	YGL153W	NA
YDR142C	YGR239C	NA
YDR142C	YHR160C	NA
YDR142C	YIL160C	NA
YDR142C	YMR095C	NA
YDR145W	YLR390W	NA
YDR146C	YDR335W	NA
YDR146C	YML051W	NA
YDR148C	YDR510W	NA
YDR148C	YFR049W	NA
YDR148C	YKL010C	NA
YDR148C	YNL092W	NA
YDR152W	YGR173W	NA
YDR159W	YLR423C	NA
YDR167W	YLR432W	NA
YDR167W	YML015C	NA
YDR167W	YML114C	NA
YDR171W	YDR171W	NA
YDR171W	YDR448W	NA
YDR171W	YDR510W	NA
YDR171W	YOL083W	NA
YDR173C	YMR042W	NA
YDR173C	YMR043W	NA
YDR174W	YDR174W	NA
YDR174W	YDR510W	NA
YDR174W	YIL013C	NA
YDR174W	YKR092C	NA
YDR174W	YML015C	NA
YDR174W	YNL189W	NA
YDR174W	YPR104C	NA
YDR176W	YDR448W	NA
YDR176W	YLR423C	NA
YDR177W	YPR093C	NA
YDR179C	YKR060W	NA
YDR179C	YMR025W	NA
YDR189W	YLR026C	NA
YDR190C	YPL235W	NA
YDR192C	YER081W	NA
YDR194C	YER081W	NA
YDR195W	YGL153W	NA
YDR200C	YMR052W	NA
